"Segment","Class","System","Attainment","Year","DU"
"ANATF_DC","TF","POTOMAC",-2.4,1985,"MSN"
"ANATF_MD","TF","POTOMAC",-5.2,1985,"MSN"
"APPTF","TF","JAMES",0,1985,"MSN"
"BACOH","OH","UPPER TRIB",0,1985,"MSN"
"BIGMH","MH","TANGIER",0,1985,"MSN"
"BOHOH","OH","UPPER TRIB",0,1985,"MSN"
"BSHOH","OH","UPPER TRIB",0,1985,"MSN"
"C&DOH_DE","OH","UPPER TRIB",0,1985,"MSN"
"C&DOH_MD","OH","MAIN",0,1985,"MSN"
"CB1TF","TF","MAIN",0,1985,"MSN"
"CB2OH","OH","MAIN",0,1985,"MSN"
"CB3MH","MH","MAIN",-0.91,1985,"MSN"
"CB4MH","MH","MAIN",NA,1985,"MSN"
"CB5MH_MD","MH","MAIN",NA,1985,"MSN"
"CB5MH_VA","MH","MAIN",NA,1985,"MSN"
"CB6PH","PH","MAIN",NA,1985,"MSN"
"CB7PH","PH","MAIN",NA,1985,"MSN"
"CB8PH","PH","MAIN",NA,1985,"MSN"
"CHKOH","OH","JAMES",0,1985,"MSN"
"CHOMH1","MH","CHOPTANK",0,1985,"MSN"
"CHOMH2","MH","CHOPTANK",0,1985,"MSN"
"CHOOH","OH","CHOPTANK",0,1985,"MSN"
"CHOTF","TF","CHOPTANK",0,1985,"MSN"
"CHSMH","MH","CHESTER",0,1985,"MSN"
"CHSOH","OH","CHESTER",0,1985,"MSN"
"CHSTF","TF","CHESTER",0,1985,"MSN"
"CRRMH","MH","RAPPAHANNOCK",0,1985,"MSN"
"EASMH","MH","UPPER TRIB",0,1985,"MSN"
"EBEMH","MH","ELIZABETH",NA,1985,"MSN"
"ELIPH","PH","ELIZABETH",NA,1985,"MSN"
"ELKOH","OH","UPPER TRIB",0,1985,"MSN"
"FSBMH","MH","TANGIER",0,1985,"MSN"
"GUNOH","OH","UPPER TRIB",0,1985,"MSN"
"HNGMH","MH","TANGIER",NA,1985,"MSN"
"JMSMH","MH","JAMES",0,1985,"MSN"
"JMSOH","OH","JAMES",0,1985,"MSN"
"JMSPH","PH","JAMES",NA,1985,"MSN"
"JMSTF1","TF","JAMES",-0.64,1985,"MSN"
"JMSTF2","TF","JAMES",0,1985,"MSN"
"LAFMH","MH","ELIZABETH",NA,1985,"MSN"
"LCHMH","MH","CHOPTANK",NA,1985,"MSN"
"LYNPH","PH","TBD",NA,1985,"MSN"
"MAGMH","MH","UPPER TRIB",0,1985,"MSN"
"MANMH","MH","TANGIER",0,1985,"MSN"
"MATTF","TF","POTOMAC",0,1985,"MSN"
"MIDOH","OH","UPPER TRIB",0,1985,"MSN"
"MOBPH","PH","MAIN",NA,1985,"MSN"
"MPNOH","OH","YORK",-5.2,1985,"MSN"
"MPNTF","TF","YORK",0,1985,"MSN"
"NANMH","MH","NANTICOKE",0,1985,"MSN"
"NANOH","OH","NANTICOKE",0,1985,"MSN"
"NANTF_DE","TF","NANTICOKE",0,1985,"MSN"
"NANTF_MD","TF","NANTICOKE",0,1985,"MSN"
"NORTF","TF","UPPER TRIB",0,1985,"MSN"
"PATMH","MH","UPPER TRIB",-0.0014,1985,"MSN"
"PAXMH","MH","PATUXENT",-0.05,1985,"MSN"
"PAXOH","OH","PATUXENT",0,1985,"MSN"
"PAXTF","TF","PATUXENT",0,1985,"MSN"
"PIAMH","MH","TBD",0,1985,"MSN"
"PISTF","TF","POTOMAC",0,1985,"MSN"
"PMKOH","OH","YORK",-3.9,1985,"MSN"
"PMKTF","TF","YORK",-2.1,1985,"MSN"
"POCMH_MD","MH","POCOMOKE",0,1985,"MSN"
"POCMH_VA","MH","POCOMOKE",0,1985,"MSN"
