"DU","Segment","Slope","p.value"
"MSN","ANATF_DC","0.068337999999999","0.118615117134097"
"MSN","ANATF_MD","0.147240555555555","0.0258443824730792"
"MSN","APPTF","0",NA
"MSN","BACOH","0",NA
"MSN","BIGMH","0",NA
"MSN","BOHOH","0",NA
"MSN","BSHOH","0",NA
"MSN","C&DOH_DE","0",NA
"MSN","C&DOH_MD","0",NA
"MSN","CB1TF","0",NA
"MSN","CB2OH","0",NA
"MSN","CB3MH","0.0114083870967744","0.985365968149021"
"MSN","CHKOH","0",NA
"MSN","CHOMH1","0",NA
"MSN","CHOMH2","0",NA
"MSN","CHOOH","0",NA
"MSN","CHOTF","0",NA
"MSN","CHSMH","0",NA
"MSN","CHSOH","0",NA
"MSN","CHSTF","0",NA
"MSN","CRRMH","0",NA
"MSN","EASMH","0",NA
"MSN","ELKOH","0",NA
"MSN","FSBMH","0",NA
"MSN","GUNOH","0",NA
"MSN","JMSMH","0",NA
"MSN","JMSOH","0",NA
"MSN","JMSTF1","0",NA
"MSN","JMSTF2","0",NA
"MSN","MAGMH","0",NA
"MSN","MANMH","0",NA
"MSN","MATTF","0",NA
"MSN","MIDOH","0",NA
"MSN","MPNOH","-0.209099642857143","0.0502125289638525"
"MSN","MPNTF","0",NA
"MSN","NANMH","0",NA
"MSN","NANOH","0",NA
"MSN","NANTF_DE","0",NA
"MSN","NANTF_MD","0",NA
"MSN","NORTF","0",NA
"MSN","PATMH","-0.0498750000000001","0.123890458032556"
"MSN","PAXMH","0",NA
"MSN","PAXOH","0",NA
"MSN","PAXTF","0",NA
"MSN","PIAMH","0",NA
"MSN","PISTF","0",NA
"MSN","PMKOH","-0.0239608695652176","0.0413517967189695"
"MSN","PMKTF","0",NA
"MSN","POCMH_MD","0",NA
"MSN","POCMH_VA","0",NA
"MSN","POCOH_MD","-0.0532821739130438","0.327951456975309"
"MSN","POCOH_VA","0",NA
"MSN","POCTF","-0.237886296296296","0.0101826483551635"
"MSN","POTMH_MD","0",NA
"MSN","POTMH_VA","0",NA
"MSN","POTOH_VA","0",NA
"MSN","POTOH1_MD","0",NA
"MSN","POTOH2_MD","0",NA
"MSN","POTOH3_MD","0",NA
"MSN","POTTF_DC","0",NA
"MSN","POTTF_MD","0",NA
"MSN","POTTF_VA","0",NA
"MSN","RHDMH","0",NA
"MSN","RPPMH","0",NA
"MSN","RPPOH","0",NA
"MSN","RPPTF","0",NA
"MSN","SASOH","0",NA
"MSN","SEVMH","0",NA
